patch_id,corner,bivariate_id,n_pixels,area_m2,elevation,inland_position,slope,building_50m,impervious_50m,canopy_height_max,southness,tpi_50m
1,cool-stable,1,106,10600.0,24.8525,3000.0,1.4021821,0.0,0.0,24.1705,-0.76159203,0.013739357
2,cool-stable,1,18,1800.0,26.307499,3000.0,0.22282532,0.0,0.0,22.7975,-0.6234288,-0.0118998345
3,cool-stable,1,27,2700.0,26.01,3000.0,1.5295606,0.0,0.0,24.691,0.7031617,0.044120178
4,cool-stable,1,100,10000.0,26.029999,3000.0,5.089081,0.001396,0.0,29.5845,0.078304335,-0.22661972
5,cool-stable,1,41,4100.0,26.175,3000.0,2.300877,0.0,0.0,27.114,0.37618646,-0.41936043
6,cool-stable,1,51,5100.0,24.059,3000.0,3.5555682,0.0,9.440813e-05,26.56,-0.8971429,-0.29468057
7,cool-stable,1,9,900.0,27.897,3000.0,14.20154,0.0,0.0061316877,28.417,-0.5430958,0.26232
8,cool-stable,1,32,3200.0,27.6665,3000.0,3.8642478,0.0,0.0059375,26.6135,-0.19158453,-0.5705998
9,cool-stable,1,17,1700.0,21.792,3000.0,4.2067804,0.0,0.0,28.418,0.64110726,-0.68803984
10,cool-stable,1,60,6000.0,20.6985,3000.0,0.85147643,0.0,0.0,23.06,0.72949874,-0.0822797
11,cool-stable,1,198,19800.0,20.5445,3000.0,1.3105345,0.0004,0.0,24.527,-0.825073,-0.08181961
12,cool-stable,1,63,6300.0,21.194,3000.0,2.2673857,0.0,0.0,28.482,-0.056933977,-0.36640075
13,cool-stable,1,26,2600.0,14.358,3000.0,0.41097677,0.0076615387,0.021509973,26.369999,-0.61713135,-0.005520039
14,cool-stable,1,10,1000.0,40.0065,3000.0,11.133233,0.00016,0.0034197532,25.7815,0.77721184,0.5162808
15,cool-stable,1,33,3300.0,19.293,3000.0,2.031049,0.0,0.0,23.544,0.5213037,-0.27099952
16,cool-stable,1,140,14000.0,18.808498,2928.293,0.8322928,0.0,0.0,25.6075,0.21667212,-0.14327988
17,cool-stable,1,9,900.0,28.24,2908.6938,16.427845,0.0,0.0,27.696,0.1950565,0.33039954
18,cool-stable,1,15,1500.0,26.084,2840.0706,2.9552627,0.0,0.0,22.687,-0.35840377,-0.8600791
19,cool-stable,1,12,1200.0,19.389,2875.4648,8.667566,0.0025333331,0.0041769547,24.243,-0.83620864,-0.8060796
20,cool-stable,1,67,6700.0,18.477,2763.2769,2.8084977,0.0,0.0,23.974,0.8114195,-0.17907913
21,cool-stable,1,136,13600.0,29.001,2928.9844,0.27401704,0.0,0.0,23.962,0.16343069,-0.00765934
22,cool-stable,1,10,1000.0,21.2525,2835.1626,3.6643162,0.0,0.0,32.501503,0.8491477,-0.70063937
23,cool-stable,1,34,3400.0,28.0245,3000.0,3.1078844,0.0,0.0,25.592,0.05980786,-0.18890011
24,cool-stable,1,18,1800.0,19.5905,2773.5354,3.2573981,0.0,0.0,22.696,0.35937718,-0.17365967
25,cool-stable,1,164,16400.0,24.2215,2555.794,3.5462508,0.0,0.0,23.6015,0.52975863,-0.007860375
26,cool-stable,1,19,1900.0,24.473,2706.8064,3.460394,0.0,0.005341131,25.099,-0.725179,-0.7615194
27,cool-stable,1,24,2400.0,20.011,2808.3625,1.9947603,0.00059999997,0.0035185188,21.388,-0.09991044,-0.4217
28,cool-stable,1,12,1200.0,19.93,2732.2678,4.8482313,0.0,0.006090535,23.5415,0.21556892,-0.33476013
29,cool-stable,1,21,2100.0,25.085,3000.0,4.638679,0.0,0.0014050559,26.942,0.9639991,-0.22119911
30,cool-stable,1,27,2700.0,19.875,2761.322,0.7812056,0.0,0.0,22.224,0.048219707,-0.2606391
31,cool-stable,1,104,10400.0,23.3615,2826.2607,2.104081,0.0019653847,0.009201093,26.865501,0.5338135,-0.45030022
32,cool-stable,1,11,1100.0,19.774,2675.2383,3.670053,0.0,0.0,24.802,-0.7978089,0.08484024
33,cool-stable,1,12,1200.0,27.017,3000.0,3.6612222,0.0,0.0,27.506,0.895392,0.46797943
34,cool-stable,1,921,92100.0,18.236,2449.898,0.9926157,0.0004290988,0.0006018686,25.379,0.42465147,-0.06035988
35,cool-stable,1,415,41500.0,19.86,2441.8232,3.5712857,3.3734937e-05,0.00043254497,27.262,-0.073514424,-0.103640825
36,cool-stable,1,11,1100.0,22.184,2668.108,7.683995,0.0023999999,0.003973064,23.528,-0.37004083,0.058120042
37,cool-stable,1,50,5000.0,20.7815,2666.2144,4.2697144,0.0,0.0006197531,25.117,-0.23267108,-0.3686607
