patch_id,corner_id,corner_label,n_pixels,area_m2,mean_r_thw,mean_r_offset,dominant_lulc,dominant_lulc_label,dominant_lulc_percent
1,1,Cool-stable,106,10600.0,0.04227857624135167,0.13588965133993977,Trees >15 m,Trees >15 m,95.28301886792453
2,1,Cool-stable,18,1800.0,0.03748156750576184,0.06232469864619288,Trees >15 m,Trees >15 m,100.0
3,1,Cool-stable,27,2700.0,0.04579936270345638,0.1612490367072773,Trees >15 m,Trees >15 m,88.88888888888889
4,1,Cool-stable,100,10000.0,0.05629633859156747,0.1640062066518275,Trees >15 m,Trees >15 m,70.0
5,1,Cool-stable,41,4100.0,0.04467340016475748,0.16606711152759454,Trees >15 m,Trees >15 m,80.48780487804878
6,1,Cool-stable,51,5100.0,0.05113503977674169,0.12183391747614883,Trees >15 m,Trees >15 m,96.07843137254902
7,1,Cool-stable,9,900.0,0.09553286665161241,0.18359943510722568,Trees >15 m,Trees >15 m,88.88888888888889
8,1,Cool-stable,32,3200.0,0.06003779355785671,0.16133291598116067,Trees >15 m,Trees >15 m,68.75
9,1,Cool-stable,17,1700.0,0.05536962292901289,0.14784919058110035,Trees >15 m,Trees >15 m,94.11764705882354
10,1,Cool-stable,60,6000.0,0.042652655462004155,0.10317320451197351,Trees >15 m,Trees >15 m,91.66666666666667
11,1,Cool-stable,198,19800.0,0.03921386352964791,0.10475092060643207,Trees >15 m,Trees >15 m,83.83838383838383
12,1,Cool-stable,63,6300.0,0.04377529843512617,0.11853440740791947,Trees >15 m,Trees >15 m,95.23809523809524
13,1,Cool-stable,26,2600.0,0.021441560149582987,0.11562382905652044,Trees >15 m,Trees >15 m,88.46153846153847
14,1,Cool-stable,10,1000.0,0.0921169069969999,0.198663827865415,Trees >15 m,Trees >15 m,90.0
15,1,Cool-stable,33,3300.0,0.05278850637410592,0.1136970400804718,Trees >15 m,Trees >15 m,75.75757575757575
16,1,Cool-stable,140,14000.0,0.028413324392952764,0.09758250957404156,Trees >15 m,Trees >15 m,92.85714285714286
17,1,Cool-stable,9,900.0,0.08340398077357333,0.20930890243771302,Trees >15 m,Trees >15 m,55.55555555555556
18,1,Cool-stable,15,1500.0,0.06607195931051539,0.19005716313429463,Trees >15 m,Trees >15 m,53.333333333333336
19,1,Cool-stable,12,1200.0,0.10404639396969795,0.19493013215480068,Trees >15 m,Trees >15 m,50.0
20,1,Cool-stable,67,6700.0,0.05344131466927435,0.1251656986527731,Trees >15 m,Trees >15 m,83.58208955223881
21,1,Cool-stable,136,13600.0,0.04838815958010031,0.1673604817422953,Trees >15 m,Trees >15 m,91.91176470588235
22,1,Cool-stable,10,1000.0,0.04549869350624214,0.2105017258621246,Trees >15 m,Trees >15 m,60.0
23,1,Cool-stable,34,3400.0,0.05712648225844097,0.16205567352267525,Trees >15 m,Trees >15 m,70.58823529411765
24,1,Cool-stable,18,1800.0,0.06618276216795524,0.20760286174105977,Trees >15 m,Trees >15 m,50.0
25,1,Cool-stable,164,16400.0,0.04739455206658909,0.1305580667826421,Trees >15 m,Trees >15 m,79.26829268292683
26,1,Cool-stable,19,1900.0,0.05764528906704971,0.10269044332499692,Trees >15 m,Trees >15 m,68.42105263157895
