scenario,present,metric,tolerance,baseline_total,future_mean_total,retained_percent,loss_percent,n_heatwaves
Average → heatwave,condition_average,Overall,0.1,4043044.3528590156,49.31563116008321,0.0012197647825755347,99.99878023521742,3
Average → heatwave,condition_average,Overall,0.5,17329616.100667883,531.7519025876218,0.0030684574862978532,99.9969315425137,3
Average → heatwave,condition_average,Overall,1.0,28388578.17065728,4021.853836888747,0.014167154877258966,99.98583284512274,3
Average → heatwave,condition_average,Overall,2.0,42462124.850132465,85975.71138399457,0.20247623426157008,99.79752376573843,3
Average → heatwave,condition_average,Overall,3.0,46425421.60387652,744234.1907128004,1.603074705627782,98.39692529437222,3
Average → heatwave,condition_average,Overall,4.0,46973787.68947358,3147977.4756334294,6.701561935868467,93.29843806413153,3
Average → heatwave,condition_average,Overall,5.0,46992878.65449941,9758761.678589975,20.76646921406592,79.23353078593408,3
P90 → heatwave,condition_p90,Overall,0.1,2977098.6363341194,2227504.5312206005,74.8213211357841,25.178678864215897,3
P90 → heatwave,condition_p90,Overall,0.5,13705342.398221498,11004766.162814787,80.29544861456976,19.704551385430236,3
P90 → heatwave,condition_p90,Overall,1.0,23989887.885396127,20909708.79014463,87.16051067030388,12.839489329696121,3
P90 → heatwave,condition_p90,Overall,2.0,37040788.7764905,34617618.50296569,93.45810293580254,6.541897064197457,3
P90 → heatwave,condition_p90,Overall,3.0,44288093.82165405,42637721.382284075,96.2735527836986,3.726447216301395,3
P90 → heatwave,condition_p90,Overall,4.0,46713337.57285313,46287650.27908493,99.0887243004114,0.9112756995886002,3
P90 → heatwave,condition_p90,Overall,5.0,46984005.45021396,46950760.359255575,99.9292416841863,0.07075831581370551,3
