class,patch_id,n_pixels,connectivity_change_mean_percent,connectivity_change_median_percent,connectivity_change_p25_percent,connectivity_change_p75_percent,heatwave_temp_mean_degC,heatwave_temp_median_degC,p90_temp_mean_degC,p90_temp_median_degC,mean_temp_mean_degC,mean_temp_median_degC,hw_minus_p90_mean_degC,hw_minus_p90_median_degC,p90_minus_mean_mean_degC,p90_minus_mean_median_degC,area_m2
Trees 2–10 m,8,13,6.2773056,6.252654,5.70890998840332,6.45357084274292,27.583078,27.726665,26.62923,26.77,20.977692,20.98,0.9538459,0.9566663,5.6515384,5.7700005,1300.0
Trees 2–10 m,10,17,37.37994,38.216354,36.31937026977539,38.96575164794922,28.981766,28.943333,27.566471,27.6,21.60588,21.55,1.415294,1.4066677,5.9605885,6.09,1700.0
Trees 2–10 m,15,16,19.210684,19.1761,18.956753730773926,19.39045238494873,28.961042,28.795,28.28875,28.165,22.2225,22.075,0.6722917,0.67999965,6.06625,5.995,1600.0
Trees 2–10 m,22,647,21.326878,21.291319,20.53123188018799,22.009851455688477,27.690628,27.683332,26.682707,26.75,21.007914,21.09,1.0079237,0.986667,5.6747913,5.6899986,64700.0
Trees 2–10 m,30,41,21.271528,21.727247,19.904409408569336,22.34566307067871,28.090326,27.803333,27.38439,27.24,21.397074,21.34,0.70593506,0.6933333,5.987317,5.8500004,4100.0
Trees 2–10 m,35,633,26.721972,27.296303,21.452411651611328,31.020263671875,28.336502,28.58,27.311342,27.51,21.354866,21.43,1.0251606,1.0900007,5.956477,6.0199986,63300.0
Trees 2–10 m,84,11,20.861969,20.848167,19.938632011413574,22.127327919006348,27.153637,27.003334,26.261818,26.17,20.626364,20.5,0.8918186,0.83333397,5.635454,5.66,1100.0
Trees 2–10 m,94,30,25.52352,25.36838,24.922247886657715,26.049726963043213,29.404,29.126667,28.006666,27.915,21.83,21.705,1.3973333,1.3733339,6.1766667,6.165,3000.0
Trees 2–10 m,115,95,27.764858,29.402353,24.46771240234375,30.16466236114502,28.828947,28.923334,27.630947,27.71,21.463894,21.54,1.1980002,1.233333,6.1670527,6.209999,9500.0
Trees 2–10 m,125,10,30.37732,30.388134,29.97489881515503,30.83701229095459,28.583334,28.61,27.314999,27.28,21.507,21.46,1.2683332,1.3499994,5.808,5.8199997,1000.0
Trees 2–10 m,130,9,30.570217,30.663857,30.018136978149414,31.118135452270508,29.148888,29.126667,28.205557,28.22,22.423332,22.51,0.9433335,0.903333,5.7822223,5.74,900.0
Trees 2–10 m,154,161,32.76834,32.574043,32.068817138671875,33.2657585144043,28.147661,28.07,27.27913,27.23,21.407454,21.38,0.8685301,0.7933324,5.871677,5.91,16100.0
Trees 2–10 m,161,38,36.363586,35.914505,35.170769691467285,37.875067710876465,28.650438,28.356667,27.614473,27.285,21.54,21.435001,1.0359648,1.0583327,6.074474,6.0249996,3800.0
Trees 2–10 m,164,12,20.97717,21.047712,20.757546424865723,21.243836879730225,27.145555,26.853333,26.643333,26.23,20.869165,20.61,0.5022221,0.526667,5.7741666,5.585,1200.0
Trees 2–10 m,179,9,19.232773,19.252335,19.023691177368164,19.715248107910156,28.525557,28.31,28.22889,27.97,22.284445,21.81,0.29666674,0.31666628,5.9444447,6.0200005,900.0
Trees 2–10 m,181,17,15.421751,15.270226,15.149231910705566,15.762460708618164,27.374313,27.316668,26.651176,26.46,20.960001,20.98,0.7231372,0.6699994,5.6911764,5.699999,1700.0
Trees 2–10 m,182,85,40.92635,41.358402,39.94406509399414,42.39120864868164,27.784746,27.73,26.867647,26.85,21.165295,21.04,0.9170981,0.97000057,5.7023525,5.75,8500.0
Trees 2–10 m,194,14,19.549957,19.786633,19.656537532806396,19.81340503692627,28.451666,28.476665,28.11,28.165,22.184286,22.315,0.3416663,0.3116662,5.925714,5.9700003,1400.0
Trees 2–10 m,197,18,16.157745,16.285961,16.073469161987305,16.46586275100708,28.79889,28.81,27.792778,27.63,21.553888,21.57,1.0061113,1.0666666,6.238889,6.16,1800.0
Trees 2–10 m,209,18,19.610374,19.689499,19.195108890533447,20.19584560394287,26.06963,26.023335,25.090555,24.945,20.061666,20.02,0.9790742,0.98166656,5.0288887,4.995,1800.0
Trees 2–10 m,214,9,38.543713,38.658314,38.599693298339844,38.81509780883789,29.222591,29.203333,28.303333,28.26,21.955557,21.86,0.91925937,1.0933336,6.347778,6.2700005,900.0
Trees 2–10 m,215,26,32.235714,31.88518,30.841958045959473,33.8469877243042,28.90859,28.916668,27.742308,27.81,21.561537,21.59,1.1662822,1.1650006,6.180769,6.1349993,2600.0
Trees 2–10 m,226,10,37.775784,37.712067,37.330196380615234,38.06447887420654,27.486002,27.693333,26.726002,26.974998,21.025,21.130001,0.76000035,0.6766672,5.7009997,5.7299995,1000.0
Trees 2–10 m,233,25,20.901192,20.891602,18.92457389831543,22.914587020874023,26.591867,26.543333,25.8132,25.72,20.3284,20.26,0.7786666,0.7600002,5.4848,5.51,2500.0
Trees 2–10 m,234,10,18.383883,18.338455,18.23214292526245,18.469650745391846,27.085667,26.813334,26.623001,26.315,20.924,20.619999,0.4626665,0.49000007,5.699,5.505001,1000.0
Trees 2–10 m,248,20,15.21505,15.43621,14.886061668395996,15.550133466720581,27.775833,27.93,27.229502,27.560001,21.193,21.035,0.5463334,0.4483334,6.0365,6.115,2000.0
Trees 2–10 m,255,25,33.863583,33.82202,33.43207931518555,34.27494812011719,27.705732,27.779999,26.8456,26.93,20.818798,20.8,0.8601331,0.84000015,6.0268,6.0599995,2500.0
Trees 2–10 m,256,14,27.693407,28.06073,26.445538997650146,28.92440700531006,27.83357,28.038334,26.897858,27.08,21.102858,21.154999,0.93571424,0.9699996,5.7950006,5.784999,1400.0
Trees 2–10 m,263,9,14.565698,14.436481,14.32414436340332,14.8355712890625,28.674076,28.42,28.427778,28.19,22.135555,21.87,0.24629627,0.3133335,6.292222,6.3500004,900.0
Trees 2–10 m,268,15,35.914993,36.013214,35.59650421142578,36.23268699645996,28.679333,28.793333,27.413334,27.61,21.246668,21.47,1.2660002,1.2333323,6.1666665,6.1500015,1500.0
Trees 2–10 m,283,16,23.692574,23.57465,23.0235276222229,24.287598133087158,26.872084,26.768333,26.018126,25.905,20.470625,20.335,0.8539584,0.87833345,5.5475,5.500001,1600.0
Trees 2–10 m,293,25,44.362793,44.242702,44.000572204589844,44.697811126708984,27.697065,27.33,26.555998,26.21,20.632801,20.39,1.1410668,1.1566664,5.9231997,5.92,2500.0
Trees 2–10 m,311,11,44.067703,44.15727,43.545209884643555,44.44188117980957,29.452728,29.553333,28.17091,28.34,21.82091,21.69,1.2818183,1.3400002,6.35,6.3199997,1100.0
Trees 2–10 m,313,20,37.56812,37.592617,37.16152000427246,38.038968086242676,29.267166,29.158333,28.1645,28.01,22.064999,21.625,1.1026666,1.1133327,6.0994997,6.284999,2000.0
