scenario,present,metric,tolerance,baseline_total,future_mean_total,retained_percent,loss_percent,n_heatwaves
P90 → heatwave,condition_p90,Tree cover,0.1,1581142.2492109388,1141174.0085283404,72.17402539827378,27.825974601726216,3
P90 → heatwave,condition_p90,Vegetated NWN,0.1,762018.5191774953,598219.0868352345,78.50453391617543,21.495466083824567,3
P90 → heatwave,condition_p90,Tree cover,0.5,7279321.2969420515,5662540.184601757,77.78939757722353,22.210602422776475,3
P90 → heatwave,condition_p90,Vegetated NWN,0.5,3522393.4945804407,2933195.3851100192,83.27279134551655,16.727208654483448,3
P90 → heatwave,condition_p90,Tree cover,1.0,12834462.956998643,10924891.816280395,85.12153451908202,14.878465480917981,3
P90 → heatwave,condition_p90,Vegetated NWN,1.0,6169932.958824643,5505147.556281693,89.22540314490564,10.774596855094359,3
P90 → heatwave,condition_p90,Tree cover,2.0,20142014.540679846,18677779.536100924,92.7304441091447,7.269555890855301,3
P90 → heatwave,condition_p90,Vegetated NWN,2.0,9487260.068082498,8942261.754491126,94.25547197314764,5.744528026852365,3
P90 → heatwave,condition_p90,Tree cover,3.0,24267558.187026456,23327836.215026867,96.12766160996794,3.8723383900320556,3
P90 → heatwave,condition_p90,Vegetated NWN,3.0,11385171.88231172,10971838.448313097,96.36954594738451,3.630454052615491,3
P90 → heatwave,condition_p90,Tree cover,4.0,25616317.393313363,25364992.38029317,99.0188870275093,0.9811129724907062,3
P90 → heatwave,condition_p90,Vegetated NWN,4.0,12119366.392765965,11995113.850116065,98.97476040724318,1.0252395927568188,3
P90 → heatwave,condition_p90,Tree cover,5.0,25766832.586408455,25745151.377608124,99.91585613510071,0.08414386489928916,3
P90 → heatwave,condition_p90,Vegetated NWN,5.0,12211320.482160412,12202092.645858318,99.92443211759468,0.07556788240532342,3
