patch_id,corner,bivariate_id,n_pixels,area_m2,canopy_height_max,elevation,slope,tpi_50m,dist_ocean,dist_inland_water,building_50m,impervious_50m
1,cool-stable,1,106,10600.0,24.1705,24.8525,1.4021821,0.013739357,3000.0,231.83482,0.0,0.0
2,cool-stable,1,18,1800.0,22.7975,26.307499,0.22282532,-0.0118998345,3000.0,304.38452,0.0,0.0
3,cool-stable,1,27,2700.0,24.691,26.01,1.5295606,0.044120178,3000.0,224.72205,0.0,0.0
4,cool-stable,1,100,10000.0,29.5845,26.029999,5.089081,-0.22661972,3000.0,72.11102,0.001396,0.0
5,cool-stable,1,41,4100.0,27.114,26.175,2.300877,-0.41936043,3000.0,161.24515,0.0,0.0
6,cool-stable,1,51,5100.0,26.56,24.059,3.5555682,-0.29468057,3000.0,42.426407,0.0,9.440813e-05
7,cool-stable,1,9,900.0,28.417,27.897,14.20154,0.26232,3000.0,31.622776,0.0,0.0061316877
8,cool-stable,1,32,3200.0,26.6135,27.6665,3.8642478,-0.5705998,3000.0,148.66069,0.0,0.0059375
9,cool-stable,1,17,1700.0,28.418,21.792,4.2067804,-0.68803984,3000.0,10.0,0.0,0.0
10,cool-stable,1,60,6000.0,23.06,20.6985,0.85147643,-0.0822797,3000.0,80.0,0.0,0.0
11,cool-stable,1,198,19800.0,24.527,20.5445,1.3105345,-0.08181961,3000.0,80.0,0.0004,0.0
12,cool-stable,1,63,6300.0,28.482,21.194,2.2673857,-0.36640075,3000.0,14.142136,0.0,0.0
13,cool-stable,1,26,2600.0,26.369999,14.358,0.41097677,-0.005520039,3000.0,68.89636,0.0076615387,0.021509973
14,cool-stable,1,10,1000.0,25.7815,40.0065,11.133233,0.5162808,3000.0,122.879364,0.00016,0.0034197532
15,cool-stable,1,33,3300.0,23.544,19.293,2.031049,-0.27099952,3000.0,20.0,0.0,0.0
16,cool-stable,1,140,14000.0,25.6075,18.808498,0.8322928,-0.14327988,2928.293,30.0,0.0,0.0
17,cool-stable,1,9,900.0,27.696,28.24,16.427845,0.33039954,2908.6938,116.61903,0.0,0.0
18,cool-stable,1,15,1500.0,22.687,26.084,2.9552627,-0.8600791,2840.0706,318.2766,0.0,0.0
19,cool-stable,1,12,1200.0,24.243,19.389,8.667566,-0.8060796,2875.4648,46.110626,0.0025333331,0.0041769547
20,cool-stable,1,67,6700.0,23.974,18.477,2.8084977,-0.17907913,2763.2769,28.284271,0.0,0.0
21,cool-stable,1,136,13600.0,23.962,29.001,0.27401704,-0.00765934,2928.9844,370.54016,0.0,0.0
22,cool-stable,1,10,1000.0,32.501503,21.2525,3.6643162,-0.70063937,2835.1626,171.75342,0.0,0.0
23,cool-stable,1,34,3400.0,25.592,28.0245,3.1078844,-0.18890011,3000.0,214.35922,0.0,0.0
24,cool-stable,1,18,1800.0,22.696,19.5905,3.2573981,-0.17365967,2773.5354,84.85281,0.0,0.0
25,cool-stable,1,164,16400.0,23.6015,24.2215,3.5462508,-0.007860375,2555.794,150.16647,0.0,0.0
