class,patch_id,n_pixels,connectivity_loss_mean_percent,connectivity_loss_median_percent,connectivity_loss_p25_percent,connectivity_loss_p75_percent,connectivity_loss_p90_percent,heatwave_temp_mean_degC,heatwave_temp_median_degC,p90_baseline_temp_mean_degC,p90_baseline_temp_median_degC,p90_offset_mean_degC,p90_offset_median_degC,p90_offset_p25_degC,p90_offset_p75_degC,area_m2,log10_area_m2,expected_p90_offset_degC,residual_cooling_loss_degC
Trees 2–10 m,8,13,6.2773056,6.252654,5.70890998840332,6.45357084274292,8.059233570098877,27.583078,27.726665,26.62923,26.77,0.9538459,0.9566663,0.9399998784065247,0.96333247423172,1300.0,3.113943352306837,0.7134543927278598,0.24321189803218046
Trees 2–10 m,10,17,37.37994,38.216354,36.31937026977539,38.96575164794922,39.528272247314455,28.981766,28.943333,27.566471,27.6,1.415294,1.4066677,1.3500003814697266,1.5066667795181274,1700.0,3.230448921378274,0.6366535253413524,0.7700141840092335
Trees 2–10 m,15,16,19.210684,19.1761,18.956753730773926,19.39045238494873,19.55267906188965,28.961042,28.795,28.28875,28.165,0.6722917,0.67999965,0.4516674652695656,0.7891659885644913,1600.0,3.2041199826559246,0.6462694130712212,0.03373023645346751
Trees 2–10 m,22,647,21.326878,21.291319,20.53123188018799,22.009851455688477,22.93706359863281,27.690628,27.683332,26.682707,26.75,1.0079237,0.986667,0.8250007629394531,1.1983334422111511,64700.0,4.810904280668701,0.6807580210066059,0.3059089563989422
Trees 2–10 m,30,41,21.271528,21.727247,19.904409408569336,22.34566307067871,22.944660186767578,28.090326,27.803333,27.38439,27.24,0.70593506,0.6933333,0.5233338475227356,0.8566665649414062,4100.0,3.6127838567197355,0.6983775886797464,-0.005044260909513265
Trees 2–10 m,35,633,26.721972,27.296303,21.452411651611328,31.020263671875,33.55995101928711,28.336502,28.58,27.311342,27.51,1.0251606,1.0900007,0.7566661834716797,1.2766666412353516,63300.0,4.801403710017355,0.6261430955824534,0.463857653051885
Trees 2–10 m,84,11,20.861969,20.848167,19.938632011413574,22.127327919006348,22.5744571685791,27.153637,27.003334,26.261818,26.17,0.8918186,0.83333397,0.7500003278255463,0.9700005948543549,1100.0,3.041392685158225,0.7591823897100318,0.07415157940617911
Trees 2–10 m,94,30,25.52352,25.36838,24.922247886657715,26.049726963043213,26.56207790374756,29.404,29.126667,28.006666,27.915,1.3973333,1.3733339,1.3008333444595337,1.5141668319702148,3000.0,3.4771212547196626,0.6203085572835694,0.7530253736856689
Trees 2–10 m,115,95,27.764858,29.402353,24.46771240234375,30.16466236114502,30.801472473144532,28.828947,28.923334,27.630947,27.71,1.1980002,1.233333,1.0666669607162476,1.3099994659423828,9500.0,3.9777236052888476,0.6223113503683293,0.6110216412317073
Trees 2–10 m,125,10,30.37732,30.388134,29.97489881515503,30.83701229095459,30.954659843444823,28.583334,28.61,27.314999,27.28,1.2683332,1.3499994,1.2225002944469452,1.3691658973693848,1000.0,3.0,0.6618298634108815,0.6881695643845287
Trees 2–10 m,130,9,30.570217,30.663857,30.018136978149414,31.118135452270508,31.20209312438965,29.148888,29.126667,28.205557,28.22,0.9433335,0.903333,0.8666674494743347,0.9900004267692566,900.0,2.9542425094393248,0.6311993827320687,0.2721336255572685
Trees 2–10 m,154,161,32.76834,32.574043,32.068817138671875,33.2657585144043,33.809837341308594,28.147661,28.07,27.27913,27.23,0.8685301,0.7933324,0.7066662907600403,1.0166664123535156,16100.0,4.20682587603185,0.6697033560221427,0.12362904191563195
Trees 2–10 m,161,38,36.363586,35.914505,35.170769691467285,37.875067710876465,38.629848098754884,28.650438,28.356667,27.614473,27.285,1.0359648,1.0583327,0.899167075753212,1.152500331401825,3800.0,3.57978359661681,0.6652399665368454,0.3930927151190384
Trees 2–10 m,164,12,20.97717,21.047712,20.757546424865723,21.243836879730225,21.255458641052247,27.145555,26.853333,26.643333,26.23,0.5022221,0.526667,0.4624994695186615,0.5691663473844528,1200.0,3.0791812460476247,0.767564821331131,-0.2408978224679108
Trees 2–10 m,179,9,19.232773,19.252335,19.023691177368164,19.715248107910156,19.756758880615234,28.525557,28.31,28.22889,27.97,0.29666674,0.31666628,0.23333294689655304,0.3766670227050781,900.0,2.9542425094393248,0.6811218385898704,-0.36445556332703777
