bivariate_id,temp_bin,offset_bin,pixel_count,area_m2,percent_valid_domain,mean_heatwave_temp_degC,median_heatwave_temp_degC,mean_hw_minus_mean_degC,median_hw_minus_mean_degC
1,0,0,196962,19696200.0,12.707627531450994,25.879834502430132,25.799999872843426,5.4663393608290525,5.510000864664715
2,1,0,63441,6344100.0,4.093097136619158,27.416562845600673,27.40999984741211,5.509189853948919,5.593334197998047
3,2,0,59712,5971200.0,3.8525088857647756,28.19645057159179,28.196666717529297,5.483585148783573,5.566666285196941
4,3,0,67194,6719400.0,4.3352338235208725,29.12865707447117,28.996667226155598,5.495224478637663,5.593333562215168
5,0,1,114358,11435800.0,7.378168729204988,26.364775643782647,26.470000584920246,5.981266662998702,5.973333358764648
6,1,1,118046,11804600.0,7.616111735145176,27.41663617149923,27.40999984741211,6.020955840651634,6.030000050862629
7,2,1,70058,7005800.0,4.520013858502623,28.167896503219538,28.150000254313152,6.015752851918235,6.023333867390949
8,3,1,85025,8502500.0,5.485657288520734,29.256786672204637,29.15333302815755,6.009018954641853,6.013333002726238
9,0,2,49476,4947600.0,3.1921009115772048,26.546232987874014,26.6266663869222,6.353843954247036,6.343332926432293
10,1,2,134856,13485600.0,8.70066214996474,27.487683577995888,27.510000228881836,6.364661684417379,6.359999974568684
11,2,2,119028,11902800.0,7.6794685767485555,28.13875589535138,28.109999974568684,6.390083734717634,6.396666844685871
12,3,2,84192,8419200.0,5.431913654044547,29.331334569518233,29.239999771118164,6.3735113797661445,6.373332341512043
13,0,3,26756,2675600.0,1.7262481201018613,26.66010327963407,26.71666653951009,6.776085491344854,6.726666768391926
14,1,3,71050,7105000.0,4.584015881792392,27.5063076230469,27.546666463216145,6.804419804509749,6.736666361490887
15,2,3,139039,13903900.0,8.970541649381174,28.2019347585245,28.200000127156574,6.842713317490829,6.779999415079754
16,3,3,150758,15075800.0,9.726630067660203,29.340541730651392,29.166666666666668,7.091824914354176,6.9933331807454415
