hel:nimi_fi,suurpiiri,raw_offset_value,deviation_from_city_mean,ring_metric_value,target_pixel_count,ring_metric_pixel_count
SUOMENLINNA,ETELÄINEN,6.317933831163632,0.10371782990959666,7.103333536783854,2015,2015
LAUTTASAARI,ETELÄINEN,6.258583532080392,0.04436753082635647,6.936666488647461,14908,14908
PUNAVUORI,ETELÄINEN,6.277783995900074,0.06356799464603835,6.92266616821289,537,537
KAIVOPUISTO,ETELÄINEN,6.27707558529595,0.06285958404191483,6.919999821980794,2315,2315
LÄNSISATAMA,ETELÄINEN,6.225347020749872,0.011131019495836725,6.903334299723308,4731,4731
TAKA-TÖÖLÖ,ETELÄINEN,6.217131033549801,0.0029150322957658403,6.886667251586914,6934,6934
ULLANLINNA,ETELÄINEN,6.3163894031665935,0.10217340191255797,6.875333913167318,1575,1575
EIRA,ETELÄINEN,6.156660199473379,-0.05755580178065678,6.823333740234375,516,516
ETU-TÖÖLÖ,ETELÄINEN,6.2133903867559575,-0.0008256144980780533,6.823333740234375,3038,3038
KAMPPI,ETELÄINEN,6.164264089617378,-0.0499519116366578,6.8033336003621425,616,616
KATAJANOKKA,ETELÄINEN,6.140747286271358,-0.0734687149826776,6.743332862854004,736,736
KLUUVI,ETELÄINEN,6.032241590887049,-0.18197441036698692,6.710000038146973,1606,1606
KRUUNUNHAKA,ETELÄINEN,6.069174162147289,-0.14504183910674673,6.701332600911458,557,557
KAARTINKAUPUNKI,ETELÄINEN,6.155052556489643,-0.05916344476439228,6.64666633605957,190,190
MELLUNKYLÄ,ITÄINEN,6.3728523112421245,0.15863630998808897,7.1300004323323565,49887,49887
VARTIOKYLÄ,ITÄINEN,6.168796667761737,-0.04541933349229854,6.84666633605957,47787,47787
VUOSAARI,ITÄINEN,6.021143006357553,-0.19307299489648244,6.700000762939453,98244,98244
SANTAHAMINA,KAAKKOINEN,6.322888412955495,0.10867241170145991,7.116666539510091,6518,6518
ULKOSAARET,KAAKKOINEN,6.316872981237987,0.1026569799839514,7.103333791097005,420,420
TAMMISALO,KAAKKOINEN,6.177713587348164,-0.03650241390587183,6.886666425069173,3324,3324
VILLINKI,KAAKKOINEN,6.111398232622115,-0.10281776863192071,6.843332926432292,14895,14895
MUSTIKKAMAA-KORKEASAARI,KAAKKOINEN,6.207377857841659,-0.0068381434123763185,6.823333740234375,4551,4551
KULOSAARI,KAAKKOINEN,6.186244065101562,-0.02797193615247373,6.773332977294922,5545,5545
LAAJASALO,KAAKKOINEN,6.098903789376001,-0.11531221187803453,6.759999593098958,51079,51079
HERTTONIEMI,KAAKKOINEN,6.0433752737370945,-0.17084072751694102,6.7233327229817705,35688,35688
VARTIOSAARI,KAAKKOINEN,5.998320842071689,-0.21589515918234614,6.640000661214192,9201,9201
KOSKELA,KESKINEN,6.464670157856353,0.2504541566023173,7.2133331298828125,3638,3638
KÄPYLÄ,KESKINEN,6.549557498513937,0.33534149725990137,7.186667124430339,8610,8610
ALPPIHARJU,KESKINEN,6.410289799169766,0.1960737979157301,7.100000953674317,2542,2542
PASILA,KESKINEN,6.376076870236921,0.16186086898288554,6.973333994547526,12654,12654
VANHAKAUPUNKI,KESKINEN,6.19338035175943,-0.02083564949460559,6.924000167846679,2340,2340
VALLILA,KESKINEN,6.18507414548271,-0.029141855771325886,6.873333549499512,2472,2472
KUMPULA,KESKINEN,6.229716715137291,0.015500713883255912,6.818666458129884,7825,7825
KALLIO,KESKINEN,6.29588795663963,0.08167195538559469,6.803332646687825,2029,2029
SÖRNÄINEN,KESKINEN,6.108886361819262,-0.1053296394347738,6.746665954589844,1311,1311
HERMANNI,KESKINEN,5.936617900436349,-0.2775981008176869,6.6666667302449545,2870,2870
TOUKOLA,KESKINEN,5.8361487383091895,-0.37806726294484605,6.603333473205566,3456,3456
SUURMETSÄ,KOILLINEN,6.465066437896849,0.25085043664281326,7.210000356038411,33564,33564
SUUTARILA,KOILLINEN,6.218909721103464,0.004693719849428568,6.883333841959636,22612,22612
TAPANINKYLÄ,KOILLINEN,6.212578049590406,-0.0016379516636293445,6.856667200724284,15385,15385
MALMI,KOILLINEN,6.076794556320916,-0.13742144493311947,6.850000381469727,47281,47281
PUKINMÄKI,KOILLINEN,6.099563649875216,-0.1146523513788198,6.826666450500489,9442,9442
VIIKKI,KOILLINEN,5.792700653718579,-0.4215153475354567,6.760000228881836,54235,54235
KONALA,LÄNTINEN,6.524853254861341,0.31063725360730565,7.156667455037435,8575,8575
KAARELA,LÄNTINEN,6.476187037504291,0.2619710362502552,7.093333562215169,50629,50629
HAAGA,LÄNTINEN,6.4280031594622224,0.21378715820818694,7.03666623433431,27884,27884
LAAKSO,LÄNTINEN,6.381692851098515,0.16747684984447986,6.966667175292969,4202,4202
PITÄJÄNMÄKI,LÄNTINEN,6.244800009665752,0.030584008411716823,6.959332784016925,19493,19493
MEILAHTI,LÄNTINEN,6.260978363877148,0.046762362623112175,6.8766663869222,11601,11601
RUSKEASUO,LÄNTINEN,6.248163069883879,0.033947068629843535,6.865999094645183,7743,7743
MUNKKINIEMI,LÄNTINEN,6.104630935517126,-0.10958506573690929,6.793333053588867,24892,24892
OULUNKYLÄ,POHJOINEN,6.384317348249508,0.1701013469954722,7.033332824707031,44664,44664
PAKILA,POHJOINEN,6.31162483537023,0.0974088341161945,6.986666997273763,15060,15060
TUOMARINKYLÄ,POHJOINEN,6.0822040755903,-0.13201192566373532,6.863333384195964,80965,80965
ULTUNA,ÖSTERSUNDOM,6.645968832931246,0.4317528316772101,7.559999465942383,105207,105207
ÖSTERSUNDOM,ÖSTERSUNDOM,6.119744092186544,-0.09447190906749192,6.886666361490885,63655,63655
SALMENKALLIO,ÖSTERSUNDOM,6.034487516120999,-0.17972848513303674,6.780000305175781,34157,34157
KARHUSAARI,ÖSTERSUNDOM,6.113642633246463,-0.10057336800757266,6.730000178019206,12749,12749
TALOSAARI,ÖSTERSUNDOM,5.865268513066623,-0.34894748818741217,6.609999338785808,18503,18503
