patch_id,corner,corner_label,bivariate_id,n_pixels,area_m2,centroid_x,centroid_y,heatwave_temp,mean_baseline_temp,p90_baseline_temp,hw_minus_mean,hw_minus_p90,inland_position,elevation,slope,tpi_50m,southness,canopy_height_max,rock_presence_10m,urban_distance,building_50m,impervious_50m
1,cool-stable,cool stable,1,106,10600.0,25512712.547169812,6687195.094339622,25.435,19.88,24.39,5.576667,1.0399996,3000.0,24.8525,1.4021821,0.013739357,-0.76159203,24.1705,0.0,323.80475,0.0,0.0
2,cool-stable,cool stable,1,18,1800.0,25513533.888888888,6687093.888888889,25.21,19.925,24.39,5.3133335,0.766667,3000.0,26.307499,0.22282532,-0.0118998345,-0.6234288,22.7975,0.0,327.2605,0.0,0.0
3,cool-stable,cool stable,1,27,2700.0,25512676.85185185,6686973.518518519,25.44,19.81,24.48,5.6266665,0.9800002,3000.0,26.01,1.5295606,0.044120178,0.7031617,24.691,0.0,186.01076,0.0,0.0
4,cool-stable,cool stable,1,100,10000.0,25513075.9,6686922.1,25.52,19.875,24.75,5.6466665,0.7366673,3000.0,26.029999,5.089081,-0.22661972,0.078304335,29.5845,0.0,42.426407,0.001396,0.0
5,cool-stable,cool stable,1,41,4100.0,25512549.87804878,6686914.268292683,25.423332,19.8,24.54,5.6400013,0.9533329,3000.0,26.175,2.300877,-0.41936043,0.37618646,27.114,0.0,72.8011,0.0,0.0
6,cool-stable,cool stable,1,51,5100.0,25513228.92156863,6686688.333333333,25.460001,19.93,24.74,5.5333333,0.6899999,3000.0,24.059,3.5555682,-0.29468057,-0.8971429,26.56,0.0,70.71068,0.0,9.440813e-05
7,cool-stable,cool stable,1,9,900.0,25513298.333333332,6686652.777777778,25.9,20.17,25.4,5.686667,0.50000066,3000.0,27.897,14.20154,0.26232,-0.5430958,28.417,0.0,40.0,0.0,0.0061316877
8,cool-stable,cool stable,1,32,3200.0,25513274.375,6686506.5625,25.595,19.955,24.765,5.633333,0.76333296,3000.0,27.6665,3.8642478,-0.5705998,-0.19158453,26.6135,0.0,60.413815,0.0,0.0059375
9,cool-stable,cool stable,1,17,1700.0,25511857.94117647,6686337.94117647,25.59,20.04,24.8,5.5933323,0.81333286,3000.0,21.792,4.2067804,-0.68803984,0.64110726,28.418,0.0,693.5416,0.0,0.0
10,cool-stable,cool stable,1,60,6000.0,25513735.666666668,6686336.0,25.406666,19.84,24.62,5.4750004,0.7366663,3000.0,20.6985,0.85147643,-0.0822797,0.72949874,23.06,0.0,206.15527,0.0,0.0
11,cool-stable,cool stable,1,198,19800.0,25513608.03030303,6686263.535353536,25.361668,19.865002,24.685001,5.4683332,0.64666784,3000.0,20.5445,1.3105345,-0.08181961,-0.825073,24.527,0.0,133.79036,0.0004,0.0
12,cool-stable,cool stable,1,63,6300.0,25511948.65079365,6686201.984126984,25.443333,19.93,24.67,5.5000014,0.7733326,3000.0,21.194,2.2673857,-0.36640075,-0.056933977,28.482,0.0,688.767,0.0,0.0
13,cool-stable,cool stable,1,26,2600.0,25501168.076923076,6686162.692307692,24.966667,19.51,23.455,5.456668,1.4783337,3000.0,14.358,0.41097677,-0.005520039,-0.61713135,26.369999,0.0,50.0,0.0076615387,0.021509973
14,cool-stable,cool stable,1,10,1000.0,25513174.0,6686144.0,25.95,20.195,25.335,5.7299995,0.63333285,3000.0,40.0065,11.133233,0.5162808,0.77721184,25.7815,0.0,40.61553,0.00016,0.0034197532
15,cool-stable,cool stable,1,33,3300.0,25512138.939393938,6685990.151515151,25.556667,20.07,24.78,5.4666667,0.77333325,3000.0,19.293,2.031049,-0.27099952,0.5213037,23.544,0.0,786.38416,0.0,0.0
16,cool-stable,cool stable,1,140,14000.0,25512087.07142857,6685857.285714285,25.286667,19.86,24.55,5.423333,0.72333306,2928.293,18.808498,0.8322928,-0.14327988,0.21667212,25.6075,0.0,722.49567,0.0,0.0
17,cool-stable,cool stable,1,9,900.0,25513242.777777776,6685858.333333333,25.876667,20.13,25.36,5.746666,0.48333296,2908.6938,28.24,16.427845,0.33039954,0.1950565,27.696,0.0,80.0,0.0,0.0
18,cool-stable,cool stable,1,15,1500.0,25512756.333333332,6685830.333333333,25.713333,20.02,24.86,5.7033334,0.8333327,2840.0706,26.084,2.9552627,-0.8600791,-0.35840377,22.687,0.0,233.45236,0.0,0.0
19,cool-stable,cool stable,1,12,1200.0,25513397.5,6685790.0,25.906666,20.2,25.34,5.7383327,0.59833395,2875.4648,19.389,8.667566,-0.8060796,-0.83620864,24.243,0.0,30.0,0.0025333331,0.0041769547
20,cool-stable,cool stable,1,67,6700.0,25512233.208955225,6685713.805970149,25.456667,19.97,24.73,5.56,0.73333293,2763.2769,18.477,2.8084977,-0.17907913,0.8114195,23.974,0.0,700.6426,0.0,0.0
21,cool-stable,cool stable,1,136,13600.0,25511565.07352941,6685674.779411765,25.523333,19.87,24.65,5.6416674,0.85666656,2928.9844,29.001,0.27401704,-0.00765934,0.16343069,23.962,0.0,224.16443,0.0,0.0
22,cool-stable,cool stable,1,10,1000.0,25511945.0,6685722.0,25.375,19.625,24.64,5.7333336,0.7099997,2835.1626,21.2525,3.6643162,-0.70063937,0.8491477,32.501503,0.0,590.04236,0.0,0.0
23,cool-stable,cool stable,1,34,3400.0,25510516.17647059,6685686.470588235,25.595001,20.005001,24.744999,5.625,0.8416675,3000.0,28.0245,3.1078844,-0.18890011,0.05980786,25.592,0.0,321.94672,0.0,0.0
24,cool-stable,cool stable,1,18,1800.0,25512050.555555556,6685688.333333333,25.548332,19.83,24.740002,5.7633333,0.7916663,2773.5354,19.5905,3.2573981,-0.17365967,0.35937718,22.696,0.0,700.4641,0.0,0.0
